name,query,region,morphology,lat,lon
Hanoi,"Hoan Kiem, Hanoi, Vietnam",Asia,organic,21.0285,105.8542
Taipei,"Zhongzheng, Taipei, Taiwan",Asia,mixed,25.033,121.5654
Osaka,"Chuo Ward, Osaka, Japan",Asia,mixed,34.6937,135.5023
Chennai,"Chennai, Tamil Nadu, India",Asia,organic,13.0827,80.2707
Istanbul,"Fatih, Istanbul, Turkey",Asia,organic,41.0082,28.9784
Tel Aviv,"Tel Aviv-Yafo, Israel",Asia,mixed,32.0853,34.7818
Cairo,"Cairo, Egypt",Africa,organic,30.0444,31.2357
Lagos,"Lagos Island, Lagos, Nigeria",Africa,organic,6.5244,3.3792
Nairobi,"Nairobi, Kenya",Africa,mixed,-1.2864,36.8172
Cape Town,"Cape Town Ward 115, South Africa",Africa,mixed,-33.9249,18.4241
Johannesburg,"Johannesburg Ward 60, South Africa",Africa,planned grid,-26.2041,28.0473
Casablanca,"Casablanca, Morocco",Africa,mixed,33.5731,-7.5898
Marrakesh,"Marrakesh, Morocco",Africa,organic,31.6295,-7.9811
Accra,"Accra, Ghana",Africa,organic,5.6037,-0.187
Addis Ababa,"Addis Ababa, Ethiopia",Africa,mixed,9.032,38.7469
Tunis,"Tunis, Tunisia",Africa,organic,36.8065,10.1815
Dakar,"Dakar, Senegal",Africa,mixed,14.7167,-17.4677
Kampala,"Kampala, Uganda",Africa,organic,0.3476,32.5825
Abuja,"Abuja Municipal Area Council, Nigeria",Africa,planned modern,9.0765,7.3986
Dar es Salaam,"Dar es Salaam, Tanzania",Africa,mixed,-6.7924,39.2083
Algiers,"Algiers, Algeria",Africa,organic,36.7538,3.0588
Buenos Aires,"San Nicolás, Buenos Aires, Argentina",South America,planned grid,-34.6037,-58.3816
Sao Paulo,"Sé, São Paulo, Brazil",South America,mixed,-23.5505,-46.6333
Rio de Janeiro,"Centro, Rio de Janeiro, Brazil",South America,organic,-22.9068,-43.1729
Lima,"Lima District, Peru",South America,planned grid,-12.0464,-77.0428
Bogota,"Bogotá, Colombia",South America,planned grid,4.711,-74.0721
Santiago,"Santiago, Chile",South America,planned grid,-33.4489,-70.6693
Quito,"Quito, Ecuador",South America,planned grid,-0.1807,-78.4678
Montevideo,"Ciudad Vieja, Montevideo, Uruguay",South America,planned grid,-34.9011,-56.1645
Cusco,"Cusco, Peru",South America,organic,-13.5319,-71.9675
Caracas,"Libertador, Caracas, Venezuela",South America,mixed,10.4806,-66.9036
Brasilia,"Brasília, Distrito Federal, Brazil",South America,planned modern,-15.7975,-47.8919
Medellin,"La Candelaria, Medellín, Colombia",South America,mixed,6.2442,-75.5812
Sydney,"Sydney, New South Wales, Australia",Oceania,mixed,-33.8688,151.2093
Melbourne,"Melbourne, Victoria, Australia",Oceania,planned grid,-37.8136,144.9631
Adelaide,"Adelaide, South Australia, Australia",Oceania,planned grid,-34.9285,138.6007
Brisbane,"Brisbane City, Queensland, Australia",Oceania,mixed,-27.4698,153.0251
Perth,"Perth, Western Australia, Australia",Oceania,mixed,-31.9505,115.8605
Auckland,"Auckland, New Zealand",Oceania,mixed,-36.8485,174.7633
Wellington,"Wellington, New Zealand",Oceania,organic,-41.2866,174.7756
Christchurch,"Christchurch, New Zealand",Oceania,planned grid,-43.5321,172.6362
Canberra,"Canberra, Australia",Oceania,planned modern,-35.2809,149.13
Dubai,"Dubai, United Arab Emirates",Asia,mixed,25.2048,55.2708
Tehran,"District 12, Tehran, Iran",Asia,mixed,35.6892,51.389
Baghdad,"Baghdad, Iraq",Asia,organic,33.3152,44.3661
Karachi,"Saddar Town, Karachi, Pakistan",Asia,mixed,24.8607,67.0011
Los Angeles,"Downtown, Los Angeles, CA, USA",North America,planned grid,34.0522,-118.2437
